run_id,batch_id,idx,pair_id,cell_id,flip,benchmark_version,physics_version,prompt_version,spec_fingerprint,model_requested_a,model_requested_b,model_used_a,model_used_b,provider_a,provider_b,seed,weapon,arena,control_mode,sharp,match_length,fallback_policy,voter_tier,latency_ms_a,latency_ms_b,latency_ms_max_a,latency_ms_max_b,prompt_tokens_a,completion_tokens_a,prompt_tokens_b,completion_tokens_b,api_calls_a,api_calls_b,invalid_actions_a,invalid_actions_b,fallback_turns_a,fallback_turns_b,fallback_status,eligibility_status,evidence,status,error,match_id,winner_side,winner_model,method,turns,damage_a,damage_b,wall_s,created
cal-dryrun-2026-09-09,local,11,bot:pro|mock:duelist,sword/ice/joint,True,1.0,1.0,2,09de66effd02,mock:duelist,bot:pro,mock:duelist,bot:pro,scripted,scripted,20260920,sword,ice,joint,tip,sprint,strict,,0.0,0.3,0.0,0.4,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,a,mock:duelist,points,4,57.7,28.3,0.1,1788950997.7553291
cal-dryrun-2026-09-09,local,12,bot:pro|mock:duelist,bow/normal/macro,True,1.0,1.0,2,09de66effd02,mock:duelist,bot:pro,mock:duelist,bot:pro,scripted,scripted,20260921,bow,normal,macro,arrowhead,sprint,strict,,0.3,0.2,0.4,0.3,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,a,mock:duelist,kill,4,121.6,53.2,0.2,1788950997.8830984
cal-dryrun-2026-09-09,local,13,bot:pro|mock:duelist,bow/normal/joint,True,1.0,1.0,2,09de66effd02,mock:duelist,bot:pro,mock:duelist,bot:pro,scripted,scripted,20260922,bow,normal,joint,arrowhead,sprint,strict,,0.0,0.3,0.0,0.4,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,b,bot:pro,kill,3,61.6,121.8,0.1,1788950998.0351565
cal-dryrun-2026-09-09,local,14,bot:pro|mock:duelist,bow/ice/macro,True,1.0,1.0,2,09de66effd02,mock:duelist,bot:pro,mock:duelist,bot:pro,scripted,scripted,20260923,bow,ice,macro,arrowhead,sprint,strict,,0.3,0.2,0.4,0.3,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,b,bot:pro,kill,3,53.0,106.8,0.1,1788950998.1384666
cal-dryrun-2026-09-09,local,15,bot:pro|mock:duelist,bow/ice/joint,True,1.0,1.0,2,09de66effd02,mock:duelist,bot:pro,mock:duelist,bot:pro,scripted,scripted,20260924,bow,ice,joint,arrowhead,sprint,strict,,0.0,0.3,0.0,0.3,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,a,mock:duelist,kill,3,92.5,72.0,0.1,1788950998.2259421
cal-dryrun-2026-09-09,local,16,bot:pro|bot:greedy,sword/normal/macro,False,1.0,1.0,2,09de66effd02,bot:pro,bot:greedy,bot:pro,bot:greedy,scripted,scripted,20260925,sword,normal,macro,tip,sprint,strict,,0.3,0.2,0.3,0.3,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,b,bot:greedy,points,4,5.6,24.8,0.1,1788950998.3180113
cal-dryrun-2026-09-09,local,17,bot:pro|bot:greedy,sword/normal/joint,False,1.0,1.0,2,09de66effd02,bot:pro,bot:greedy,bot:pro,bot:greedy,scripted,scripted,20260926,sword,normal,joint,tip,sprint,strict,,0.4,0.2,0.6,0.3,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,b,bot:greedy,points,4,5.6,24.8,0.1,1788950998.4435148
cal-dryrun-2026-09-09,local,18,bot:pro|bot:greedy,sword/ice/macro,False,1.0,1.0,2,09de66effd02,bot:pro,bot:greedy,bot:pro,bot:greedy,scripted,scripted,20260927,sword,ice,macro,tip,sprint,strict,,0.4,0.2,0.6,0.2,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,a,bot:pro,points,4,7.0,0.0,0.1,1788950998.5789711
cal-dryrun-2026-09-09,local,19,bot:pro|bot:greedy,sword/ice/joint,False,1.0,1.0,2,09de66effd02,bot:pro,bot:greedy,bot:pro,bot:greedy,scripted,scripted,20260928,sword,ice,joint,tip,sprint,strict,,0.3,0.2,0.6,0.3,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,a,bot:pro,points,4,7.0,0.0,0.1,1788950998.7134385
cal-dryrun-2026-09-09,local,20,bot:pro|bot:greedy,bow/normal/macro,False,1.0,1.0,2,09de66effd02,bot:pro,bot:greedy,bot:pro,bot:greedy,scripted,scripted,20260929,bow,normal,macro,arrowhead,sprint,strict,,0.3,0.2,0.3,0.2,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,b,bot:greedy,points,4,25.3,42.4,0.1,1788950998.84436
